a52dec 0.7.4-12
thunar 4.18.4-1
thunar-archive-plugin 0.5.1-1
thunar-volman 4.18.0-1
tlp 1.5.0-6
tmux 3.3_a-3
tolua++ 1.0.93-4
tpm2-tss 3.2.0-3
tracker3 3.5.0-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-font-awesome 6.4.0-1
ttf-hack 3.003-3
ttf-jetbrains-mono-nerd 2.3.3-2
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-ubuntu-font-family 1:0.83-1
tty-clock 2.3-1
tumbler 4.18.1-1
twolame 0.4.0-2
tzdata 2023c-1
uchardet 0.0.8-1
udftools 2.3-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unace 2.5-11
unrar 1:6.2.6-1
unzip 6.0-19
upd72020x-fw 1.0.0-1
upower 1.90.0-3
uriparser 0.9.7-1
urxvt-fullscreen 1-1
urxvt-perls 2.3-2
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-2
usbutils 015-2
util-linux 2.38.1-3
util-linux-libs 2.38.1-3
v4l-utils 1.24.1-1
variety 0.8.9-3
vid.stab 1.1-3
vim 9.0.1420-1
vim-runtime 9.0.1420-1
virtualbox-guest-utils 7.0.8-1
vmaf 2.3.1-1
volume_key 0.3.12-7
vpnc 1:0.5.3.r526.r213-1
vte-common 0.72.1-1
vte3 0.72.1-1
vulkan-headers 1:1.3.246-1
vulkan-icd-loader 1.3.245-1
vulkan-validation-layers 1.3.243.0-1
w3m 0.5.3.git20230121_1-1
wavpack 5.6.0-1
waybar-hyprland-git 0.9.17.r159.ga9a22234-1
wayland 1.22.0-1
wayland-protocols 1.31-1
wd719x-firmware 1-7
webkit2gtk 2.40.0-2
webrtc-audio-processing 0.3.1-3
wf-recorder-git r182.460d454-1
wget 1.21.3-1
which 2.21-6
wildmidi 0.4.5-1
wireless-regdb 2023.02.13-1
wireless_tools 30.pre9-3
wireplumber 0.4.14-1
wl-clipboard 1:2.1.0-3
wlr-randr 0.3.0-1
wmctrl 1.07-6
woff2 1.0.2-4
wofi 1.3-2
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wvdial 1.61-8
wvstreams 4.6.1-20
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.4.3-1
xcb-proto 1.15.2-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.16.0-1
xdg-desktop-portal-hyprland 0.2.1-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+25+g8ae0263-1
xerolinux-mirrorlist 0.1.3-3
xf86-input-elographics 1.4.3-1
xf86-input-libinput 1.3.0-1
xf86-video-vmware 13.4.0-1
xfce4-appfinder 4.18.0-1
xfce4-terminal 1.0.4-1
xfconf 4.18.1-1
xfsprogs 6.2.0-1
xkeyboard-config 2.38-1
xl2tpd 1.3.18-1
xmlsec 1.2.37-1
xorg-bdftopcf 1.1.1-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.3-2
xorg-smproxy 1.0.7-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbprint 1.0.6-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.1.1-1
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2022.2-1
xplc 0.3.13-10
xsel 1.2.0.20200527-2
xvidcore 1.3.7-2
xxhash 0.8.1-4
xz 5.4.2-1
yad 12.3-1
yaml-cpp 0.7.0-2
yay-bin 12.0.4-1
zbar 0.23.90-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zlib 1:1.2.13-2
zsh 5.9-3
zsh-completions 0.34.0-4
zsh-syntax-highlighting 0.7.1-1
zstd 1.5.4-1
zvbi 0.2.41-1
zxing-cpp 2.0.0-2
